title,question,expected_answer,generated_answer,is_similar
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic,"['The World Council of Churches decided to include a diverse range of theologians in their committees, particularly those engaged in the ecumenical movement. This includes theologians from various Christian traditions, including Orthodox, Reformed, and other denominations, who are open to dialogue and cooperation on issues of social justice, development, and Christian unity. The involvement of theologians is aimed at fostering collaboration among different Christian communities while respecting their doctrinal distinctiveness.']",0
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias,"['The adherence to the Constitution in Thailand is harmed by a weak or nonexistent rule of law, as noted in the context of various East Asian cultures. This lack of strong legal frameworks and enforcement undermines the principles of governance and accountability outlined in the Constitution, leading to discontent and challenges in implementing constitutional mandates effectively.']",3
Universal_Studios,In what year did MCA take over Universal?,1962,['MCA took over Universal in 1958 when it purchased the studio lot.'],0
Classical_music,What instrument did Anna Lelkes play?,harp,"['The context provided does not mention Anna Lelkes or specify any instrument she might have played. Therefore, I cannot provide an answer based on the information available.']",0
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917","['The Halifax Explosion occurred on December 6, 1917.']",9
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution,"['The Constitution of the Republic of the United Provinces influenced various political movements and constitutions that followed, particularly in the development of republican forms of government in Europe. Its principles laid the groundwork for later democratic ideals and structures, which were mirrored in documents such as the United States Constitution and influenced leaders and thinkers advocating for constitutional governance.']",3
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000","['The total bounty offered for Captain Henry Every after the capture of the Ganj-i-Sawai was £1,000.']",8
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent,"['At the beginning of the 21st century, just six percent of Americans hunted.']",7
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”,"['The title change that will be happening to reduce racial tensions is the implementation of affirmative action programs, which aim to ensure equal opportunities for people of color in employment and education. These programs are rooted in the principles established by Executive Orders from Presidents Kennedy and Johnson, as well as the Civil Rights Act, which sought to end discrimination and promote integration in society.']",0
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues,"['The term ""Huguenot"" may be related to the Swiss politician Besançon Hugues, who was a leader of the ""Confederate Party"" favoring independence from the Duke of Savoy through an alliance between Geneva and the Swiss Confederation.']",7
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts,"['With the passage of time, the particular contrasts that are phonemic in a language can change. This includes shifts in sounds that may have once been allophones of the same phoneme, which can later become separate phonemes. This phenomenon is a significant factor in the historical change of languages, as described in historical linguistics.']",3
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties,"['The casualties in the 1757 Battle of Prague were significant for both sides. The Prussian forces suffered major casualties, although the exact figures are not specified in the provided context. The battle forced the Austrians back into the fortifications of Prague, indicating a fierce confrontation. Following the battle, Frederick II had to withdraw from Bohemia, suggesting that the losses were detrimental to the Prussian campaign.']",8
Religion_in_ancient_Rome,Who ate the meat of the sacrifice during the after sacrifice  banquet?,officials and priests,"[""Rome's officials and priests reclined in order of precedence alongside and ate the meat; lesser citizens may have had to provide their own.""]",3
Pope_John_XXIII,New pontiffs are chosen from Cardinals who head what?,archdioceses or departments of the Roman Curia,['New pontiffs are chosen from Cardinals who head archdioceses or departments of the Roman Curia that attend the papal conclave.'],7
Samurai,Where did the bushi live?,mainly in the north of Japan,"['The bushi, or samurai, primarily lived in Japan, specifically in regions that were influenced by the power dynamics of the time. They were often associated with powerful clans and lived in areas where these clans held influence. Their residences, known as bukeyashiki (warrior mansions), were typically located in fortified structures that served both as homes and military compounds. As the samurai class evolved, their settlements were concentrated around the provincial areas they governed or within the estates of their lords.']",2
FA_Cup,Where was the first trophy presented? ,the Pall Mall Restaurant in London,['The first trophy was presented at the National Football Museum in Preston.'],0
Tibet,What is worshipped during Tibet's various festibals?,Buddha,"[""During Tibet's various festivals, the Buddha is worshipped.""]",3
Franco-Prussian_War,What did France fear by an alliance between Prussia and Spain?,encirclement,"[""France feared that an alliance between Prussia and Spain would significantly strengthen Prussia's military power and influence in Europe, potentially leading to increased territorial ambitions. Such an alliance could disrupt the balance of power in Europe, as it would enable Prussia to unify more German states and threaten French interests, particularly in the context of the Franco-German rivalry. This concern was exacerbated by the historical animosities and conflicts arising from previous wars involving both nations.""]",2
Zhejiang,When did the Six Dynasties end?,589,['The Six Dynasties period ended in 589 AD with the unification of China under the Sui Dynasty.'],7
Hindu_philosophy,"According to a school of Vedanta, what is all reality?",Brahman,"['According to the Advaita Vedanta school of Vedanta, all reality is Brahman, and there exists nothing whatsoever which is not Brahman.']",8
51st_state,What percentage of voters rejected the status of territory?,54 percent,['54 percent of voters rejected the current status under the territorial clause of the U.S. Constitution.'],7
On_the_Origin_of_Species,What was chapter VII entitled?,Miscellaneous objections,"[""The context does not provide specific information about a chapter VII or its title. The relevant discussions involve the Social Chapter of the Treaty of Amsterdam and Title VII of a bill regarding employment discrimination, but there's no mention of a chapter VII in this context. Therefore, the answer cannot be determined from the provided information.""]",0
Arena_Football_League,When was free agency scheduled to begin after the delay?,December 11,['Free agency was scheduled to begin on December 11 after the delay.'],7
