title,question,answers
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias
Universal_Studios,In what year did MCA take over Universal?,1962
Classical_music,What instrument did Anna Lelkes play?,harp
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917"
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000"
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties
Religion_in_ancient_Rome,Who ate the meat of the sacrifice during the after sacrifice  banquet?,officials and priests
Pope_John_XXIII,New pontiffs are chosen from Cardinals who head what?,archdioceses or departments of the Roman Curia
Samurai,Where did the bushi live?,mainly in the north of Japan
FA_Cup,Where was the first trophy presented? ,the Pall Mall Restaurant in London
Tibet,What is worshipped during Tibet's various festibals?,Buddha
Franco-Prussian_War,What did France fear by an alliance between Prussia and Spain?,encirclement
Zhejiang,When did the Six Dynasties end?,589
Hindu_philosophy,"According to a school of Vedanta, what is all reality?",Brahman
51st_state,What percentage of voters rejected the status of territory?,54 percent
On_the_Origin_of_Species,What was chapter VII entitled?,Miscellaneous objections
Arena_Football_League,When was free agency scheduled to begin after the delay?,December 11
Frédéric_Chopin,"Who said Chopin's works were modeled after Bach, Beethoven, Schubert and Field?",Richard Taruskin
Szlachta,WHo would pay for expenses during travels or the royal courts?,the king and the court
Hellenistic_period,What years were the Roman–Parthian Wars?,66 BC – 217 AD
Adult_contemporary_music,At the end of what decade did the Hot 100 and Easy Listening charts begin to converge?,1960s
The_Legend_of_Zelda:_Twilight_Princess,When were track versions of the game's sountrack released?,"November 19, 2006"
Capital_punishment_in_the_United_States,In what year did the American Law Institute change their mind about their contribution on the death penalty to the Model Penal Code?,2009
Mexico_City,How many days a week does the city encourage people to go without a car?,two days
Association_football,In what year did an incident help introduce added time?,1891
Egypt,Who took control of Egypt in 525 BC?,Achaemenid Persians
Buddhism,"According to Genshin, who has the power to destroy karma?",Amitābha
Mary_(mother_of_Jesus),Who was Aaron's wife?,Elisheba
Clothing,What habitat is the body louse specific to?,clothing
Korean_War,What two areas was Korea divided into?,Soviet and U.S. occupation zones
Queen_Victoria,"In 1889, what was Victoria the first reining monarch from Britian to do?",set foot in Spain
Boston,Most of the city lies in which USDA plant hardiness zone?,6b
Karl_Popper,How did Popper feel about Marxism after only a short time associating with other Marxists?,disillusioned
Saint_Barth%C3%A9lemy,What did the native peoples of Saint-Barthélemy call the island?,Ouanalao
Strasbourg,The traffic coming west of the city is from where?,unité urbaine
Southeast_Asia,The Indian influence is evident in which country through the Tamil migrants?,Singapore
House_music,what record labels helped popularize house music?,Trax Records and DJ International Records
Premier_League,How many games did BT show in 2013-16?,BT had been awarded 38 games a season for the 2013–14 through 2015–16 seasons at £246 million-a-year.
FC_Barcelona,When did Barcelona win the Spanish League?,23 June 1929
Catalan_language,What does this imply the use an extra group of pronouns for?,formality
Greece,What three countries sent their Navy to Greece?,"Russia, the United Kingdom and France"
Roman_Republic,After what war did the alliances start to solidify?,Second Punic War
Molotov%E2%80%93Ribbentrop_Pact,How long after the annexation of Kresy was the amendment made?,Eleven days
Labour_Party_(UK),When did Labour publish a new draft manifesto?,1996
General_Electric,Which city was the home of GE's first headquarters?,Schenectady
Lighting,What kind of tube are the movie theaters lights enclosed in?,translucent tube
Frédéric_Chopin,What year was Chopin born?,1810
Hunting,Approximately how many sport hunters applied for hunting licences in recent years?,"12,000"
"Tucson,_Arizona",When does El Tour de Tucson happen?,in November on the Saturday before Thanksgiving
List_of_numbered_streets_in_Manhattan,What name did 3rd Street previously hold?,Amity Place
Houston,What city is the most diverse in Texas?,Houston
God,How does Alvin Plantinga describe faith?,"""properly basic"""
Prime_number,What is the name of one algebraic generalization prime numbers have inspired?,"['prime elements', 'prime ideals']"
Super_Nintendo_Entertainment_System,Where was the Super Game Boy 2 released?,Japan
Capacitor,What device can be used to discharge large voltage capacitors?,a Brinkley stick
Mexico_City,Where is the house that Leon Trotsky was murdered?,Coyoacán
University_of_Kansas,What is the name of an online resource that was created into provide a resource about KU?,KUpedia
Nintendo_Entertainment_System,What was installed on the front of the console so the joystick could be used?,15-pin expansion port
Saint_Helena,Who gave up calling at the island due to attacks on their shipping?,The Portuguese and Spanish
Dog,How many people in the United States are said to own dog?,77.5 million
Bermuda,Why is there a debate as to dubbing the diamondback terrapin the oldest indigenous land vertebrate?,this species spends most of its time in brackish ponds
Hunter-gatherer,What has been humans' best adaptation in food production?,Hunting and gathering
Arsenal_F.C.,What has the color of the Arsenal  home shirts been?,bright red
Bermuda,"What is the Olympic tradition for Bermuda, regardless of season?",march in the Opening Ceremony in Bermuda shorts
San_Diego,Who did Inzunza and Zucche accept money from?,a strip club owner and his associates
Film_speed,What is denoted when the specified contrast condition is met?,"The exposure Hm, in lux-s"
Supreme_court,What document grants the Philippines Supreme Court the right of judicial review?,1987 Philippine Constitution
Westminster_Abbey,What did changing the status of the abbey create?,the Diocese of Westminster
Beer,In which century were hops first widely cultivated for making beer?,the thirteenth century
United_States_dollar,"How did the word ""taler"" translate into Italian?",tallero
"Ann_Arbor,_Michigan",Which districts compose mostly of 2-4 story structures?,commercial districts
Slavs,Who uses the Cyrillic alphabet?,The Orthodox
Boston,Lots of older buildings are supported by what?,wooden piles
Gamal_Abdel_Nasser,"What did the UK, France and Israel intend to do to Nasser?",topple
Palermo,What types of churches attract tourists to Palermo?,"Romanesque, Gothic and Baroque"
Financial_crisis_of_2007%E2%80%9308,What is an example of a product Wall Street invented to answer the demand for income generating investments?,mortgage-backed security
Translation,What title did Georgius Gemistus Pletho carry?,Byzantine scholar
"Fresno,_California",How many total acres is Woodward Park?,"['300 acres', '300']"
Slavs,When were Slavic languages recognized as Indo-European?,As early as 1833
BBC_Television,What character was featured in the cartoon aired the day BBC broadcasting was restored?,Mickey Mouse
Flowering_plant,What is it the function of the flower to ensure fertilization of?,the ovule
Seattle,How often is the Seattle Poetry festival held?,biennial
USB,"In all cases, both host-to-device and device-to-host configurations are what?",supported
Steven_Spielberg,When was Jaws released?,1975
Yuan_dynasty,Who would have been the lowest-ranked class?,"['Han Chinese', 'the Han Chinese']"
Queen_Victoria,What was the name of Victoria's King Charles Spaniel?,Dash
Canadian_Armed_Forces,What do the Canadian Rangers safekeep?,Canada's exercise of sovereignty over its northern territory
Pitch_(music),Octaves in linear pitch are what size?,12
Wood,"Along with fatty acids, what kind of acids are in the extractives in wood?",resin
Dissolution_of_the_Soviet_Union,What position did Konayev hold in Kazakhstan prior to his removal?,First Secretary of the Communist Party
Chinese_characters,What has standardized character forms?,Chinese characters
Northwestern_University,Where did actor Warren Beatty attend school?,Northwestern's School of Communication
Antenna_(radio),What is also increased along with the antenna's height?,lobes
Chicago_Cubs,How long were the Cubs ran under the Wrigley family?,6 decades
Central_African_Republic,What agreement gave the authority for deployment of military intervention?,The Bangui Agreements
Ctenophora,How does cooling of the local environment affect the mnemiopsis?,"[""significantly slowed the animal's metabolism"", ""slowed the animal's metabolism""]"
1973_oil_crisis,Which country is a traditional ally of Israel?,"['The UK', 'UK']"
American_Idol,Which contestant had a fiancé that had suffered brain damage?,Chris Medina
2008_Sichuan_earthquake,How did the USGS rate the earthquake?,very disastrous
Super_Nintendo_Entertainment_System,How much data do the smallest SNES games use?,2 Mbit
Cyprus,Which Turkish Cypriot writer has been nominated for the Nobel Prize in literature twice?,Osman Türkay
Professional_wrestling,What move did Tazz make popular?,Tazzmission
Beer,Who was believed to have added hops to beer in 1067?,Abbess Hildegard
Lighting,What is used to light walkways at night?,Street Lights
Thuringia,"Why did the iron, copper and silver mines fail?",because the competition from imported metal was too strong
Rhine,How many bodies of water makes up Lake Constance?,"['three', 'three bodies of water']"
2008_Sichuan_earthquake,What were all these tents and quilts for?,those left homeless
Rhine,When was the Rhine crisis?,1840
Dutch_Republic,What was the main subject of controversy that arose within the Reformed Church during the beginning of the Republic?,predestination
Transistor,What is a ball grid array composed of?,"solder ""balls"" on the underside in place of leads"
Queen_Victoria,"During her free time, what did she play with?",dolls
Yuan_dynasty,Who was the Karluk Kara-Khanid ruler ranked above?,"['Korean King', 'the Korean King']"
Plymouth,Who set fire to Plymouth in 1403?,Breton raiders
Police,What problems did Sheptycki say 'organizational pathologies' have caused for police?,make the functioning of security-intelligence processes in transnational policing deeply problematic
2008_Sichuan_earthquake,What famous basketball player made two large donations to the crisis?,Yao Ming
John_Kerry,Who was Kerry's paternal grandmother?,Ida Lowe
Georgian_architecture,What year did Georgian architecture begin to be abandoned?,1840
Buckingham_Palace,Which rooms are used for less formal entertaining such as luncheons or private audiences?,the semi-state apartments
Saint_Helena,What was there a long pattern of from the island starting during the post Napoleonic period?,emigration
Cyprus,"What is the rating for Cyprus in the ""Freedom in the World 2011"" report?",free
Digestion,What is one molecule of fat?,a triglyceride
Switzerland,What sources of energy does Switzerland heavily rely on?,renewable
"St._John%27s,_Newfoundland_and_Labrador",What is the foggiest Canadian city?,St. John's
Arsenal_F.C.,What early team copied the Arsenal's red current color in 1909?,Sparta Prague
Affirmative_action_in_the_United_States,What was the purpose of Title VII of the Civil Rights Act?,to end discrimination in all firms with 25 or more employees
Han_dynasty,How many dragons were represented in Zhang Heng's invention of the seismometer?,eight
Roman_Republic,Why did Julius Caesar wish to invade Gaul?,would give him the dramatic military success he sought
Armenians,What is Hakobyan's career?,Art historian
Gramophone_record,What are two examples of high quality microphones?,moving coil microphone was introduced around 1930 and the velocity or ribbon microphone
Digimon,What year was Digimon: The movie released in the US/Canada?,"October 6, 2000"
