title,question,expected_answer,generated_answer,is_similar
Pope_Paul_VI,What type of theologians did the World Council of Churches decide to include in their committees?,Catholic,"['The World Council of Churches decided to include Catholic theologians in their committees, provided they have the backing of the Vatican.']",3
Rule_of_law,What harms the adherence to the Constitution in Thailand?,Ancient prejudices and political bias,"[""The adherence to the Constitution in Thailand is harmed by the executive branch's rejection of a supreme court decision regarding the selection of senators. This undermines the rule of law and the judiciary's authority, creating an environment where constitutional principles may not be respected. Additionally, the overall weak rule of law in Thailand, coupled with royalist influences in governance and conflicting powers among the branches of government, further contributes to the erosion of constitutional adherence.""]",2
Universal_Studios,In what year did MCA take over Universal?,1962,['MCA took over Universal Pictures in mid-1962.'],7
Classical_music,What instrument did Anna Lelkes play?,harp,['Anna Lelkes played the harp.'],5
Alexander_Graham_Bell,On what day did the Halifax Explosion happen?,"December 6, 1917","['The Halifax Explosion occurred on December 6, 1917.']",9
Dutch_Republic,Who was influenced by the Constitution of the Republic of the United Provinces?,The framers of the US Constitution,['The framers of the US Constitution were influenced by the Constitution of the Republic of the United Provinces.'],3
East_India_Company,What was the total bounty offered for Captian Every after England heard that the Ganj-i-Sawai was  taken,"£1,000","['The total bounty offered for Captain Every, after England learned that the Ganj-i-Sawai was taken, was £1,000.']",8
Hunting,What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent,"['At the beginning of the 21st century, just six percent of Americans hunted.']",7
Yale_University,What title change will be happening to reduce racial tensions?,the title of “master” for faculty members who serve as residential college leaders will be renamed to “head of college”,"['The title change that will be happening to reduce racial tensions is likely the transition from terms like ""Negro"" to ""Black"" or ""Afro-American,"" reflecting a broader movement toward recognizing and affirming racial identity in a way that seeks to overcome the historical associations with slavery, segregation, and discrimination. Additionally, affirmative action policies are also a significant aspect of addressing racial inequality and tensions, promoting equal opportunity for underrepresented minorities.']",0
Huguenot,The term may be related to what politician from Switzerland?,Besançon Hugues,"[""The term may be related to the national conservative politician from Switzerland, Marine Le Pen. However, it should be noted that Marine Le Pen is actually a French politician. If referring to a Swiss political context, it could be related to politicians from the Swiss People's Party (SVP/UDC), most notably, Christoph Blocher, who has been a prominent figure in promoting conservative and nationalist policies, including immigration restriction.""]",0
Phonology,With the passage of time what particular things phonemic in a language are known to change?,contrasts,"['With the passage of time, phonemic contrasts in a language can change. For example, sounds that were once allophones of the same phoneme can evolve to become separate phonemes, as illustrated by the historical development of [f] and [v] in English. This phenomenon is one of the main factors contributing to the historical change of languages, as described in historical linguistics.']",3
Seven_Years%27_War,What were casualties like in the 1757 battle in Prague?,both forces suffered major casualties,"['In the Battle of Prague on May 6, 1757, both the Prussian and Austrian forces suffered major casualties. The Prussians were able to force the Austrians back into their fortifications, but the exact number of casualties for each side is not provided in the context. However, it is stated that both forces experienced significant losses during this bloody battle.']",8
Religion_in_ancient_Rome,Who ate the meat of the sacrifice during the after sacrifice  banquet?,officials and priests,"[""In the aftermath of the sacrifice banquet, Rome's officials and priests reclined in order of precedence and ate the meat. Lesser citizens may have had to provide their own food.""]",7
Pope_John_XXIII,New pontiffs are chosen from Cardinals who head what?,archdioceses or departments of the Roman Curia,['New pontiffs are chosen from Cardinals who head the College of Cardinals.'],0
Samurai,Where did the bushi live?,mainly in the north of Japan,"['The bushi, or ancient Japanese soldiers from traditional warrior families, primarily lived in the north of Japan. Additionally, during the later periods, they became affiliated with powerful clans and were associated with the regions where their lords and families were based, particularly in relation to military governance and the samurai-dominated governments established in various provinces.']",7
FA_Cup,Where was the first trophy presented? ,the Pall Mall Restaurant in London,['The first trophy was presented at a reception held four weeks after the inaugural FA Cup final in the Pall Mall Restaurant in London.'],8
Tibet,What is worshipped during Tibet's various festibals?,Buddha,"[""During Tibet's various festivals, Tibetan Buddhism is primarily worshipped, along with its associated deities. These festivals often involve offerings, prayers, and rituals dedicated to the Buddha and other religious figures significant in Tibetan Buddhist tradition.""]",3
Franco-Prussian_War,What did France fear by an alliance between Prussia and Spain?,encirclement,"['France feared encirclement by an alliance between Prussia and Spain. This concern arose from the candidacy of a Prussian prince, Leopold of Hohenzollern-Sigmaringen, to the throne of Spain, which threatened to create a united front against France and further isolate it strategically.']",7
Zhejiang,When did the Six Dynasties end?,589,['The Six Dynasties period typically refers to a time from approximately 220 AD to 589 AD. It ended with the unification of China under the Sui dynasty in 589 AD.'],5
Hindu_philosophy,"According to a school of Vedanta, what is all reality?",Brahman,"['According to the Vedanta school, all reality is Brahman, and there exists nothing whatsoever which is not Brahman.']",8
